Site,SDCA,SSA,Circle,Pincode,Lat,Lng
Achalapur ,Adilabad,Hyderabad,Andhra Pradesh,504273,19.1595539,79.5318582
Ada ,Adilabad,Hyderabad,Andhra Pradesh,504293,19.7008682,78.6029862
Adegaon ,Adilabad,Hyderabad,Andhra Pradesh,504307,19.4230512,78.4471297
Adilabad Collectorate ,Adilabad,Hyderabad,Andhra Pradesh,504001,19.6640624,78.5320107
Adilabad H.O,Adilabad,Hyderabad,Andhra Pradesh,504001,19.6640624,78.5320107
Agm Colony ,Adilabad,Hyderabad,Andhra Pradesh,504251,13.7150633,77.4960298
Ainam ,Adilabad,Hyderabad,Andhra Pradesh,504273,19.2696864,79.6782755
Aknepalli ,Adilabad,Hyderabad,Andhra Pradesh,504251,13.7150633,77.4960298
Akoli ,Adilabad,Hyderabad,Andhra Pradesh,504309,19.8181659,78.5389969
Alegaon ,Adilabad,Hyderabad,Andhra Pradesh,504201,13.7150633,77.4960298
Aloor ,Adilabad,Hyderabad,Andhra Pradesh,504110,13.7150633,77.4960298
Ambaripet ,Adilabad,Hyderabad,Andhra Pradesh,504202,13.7150633,77.4960298
Andavelli ,Adilabad,Hyderabad,Andhra Pradesh,504296,19.3346040,79.5294318
Andugulpet ,Adilabad,Hyderabad,Andhra Pradesh,504231,18.9542536,79.1463868
Andukur ,Adilabad,Hyderabad,Andhra Pradesh,504109,13.7150633,77.4960298
Angarajpally ,Adilabad,Hyderabad,Andhra Pradesh,504201,13.7150633,77.4960298
Ankhoda ,Adilabad,Hyderabad,Andhra Pradesh,504299,19.4062173,79.5996716
Ankoli ,Adilabad,Hyderabad,Andhra Pradesh,504002,19.6013846,78.5604069
Annaram ,Adilabad,Hyderabad,Andhra Pradesh,504201,19.1825422,79.5406738
Arepally ,Adilabad,Hyderabad,Andhra Pradesh,504204,13.7150633,77.4960298
Arli (T) ,Adilabad,Hyderabad,Andhra Pradesh,504312,19.8351096,78.3671565
Ashepally ,Adilabad,Hyderabad,Andhra Pradesh,504313,19.4230512,78.4471297
Ashta ,Adilabad,Hyderabad,Andhra Pradesh,504101,18.9111291,78.0252466
Asifabad ,Adilabad,Hyderabad,Andhra Pradesh,504293,19.3618990,79.2930312
Asnad ,Adilabad,Hyderabad,Andhra Pradesh,504201,13.7150633,77.4960298
Awadam ,Adilabad,Hyderabad,Andhra Pradesh,504204,18.9560023,79.6095008
Babapur ,Adilabad,Hyderabad,Andhra Pradesh,504293,19.0585986,78.4553013
Babasagar ,Adilabad,Hyderabad,Andhra Pradesh,504299,19.4387024,79.7568107
Badampally ,Adilabad,Hyderabad,Andhra Pradesh,504205,19.0883957,78.9988088
Badankurthy ,Adilabad,Hyderabad,Andhra Pradesh,504203,13.7150633,77.4960298
Bambara ,Adilabad,Hyderabad,Andhra Pradesh,504295,19.5138473,79.3363462
Bangalpet ,Adilabad,Hyderabad,Andhra Pradesh,504106,19.1084099,78.3522213
Bansapalli ,Adilabad,Hyderabad,Andhra Pradesh,504306,19.4230512,78.4471297
Bapur ,Adilabad,Hyderabad,Andhra Pradesh,504299,13.7150633,77.4960298
Bareguda ,Adilabad,Hyderabad,Andhra Pradesh,504296,19.3285752,79.4760133
Basar  (Adilabad),Adilabad,Hyderabad,Andhra Pradesh,504101,18.8801751,77.9538767
Bazar Hathnur ,Adilabad,Hyderabad,Andhra Pradesh,504304,19.4230512,78.4471297
Beernandi ,Adilabad,Hyderabad,Andhra Pradesh,504203,13.7150633,77.4960298
Bejjur ,Adilabad,Hyderabad,Andhra Pradesh,504299,19.3463024,79.8646835
Bela ,Adilabad,Hyderabad,Andhra Pradesh,504309,19.7189177,78.7717061
Bellalbadi ,Adilabad,Hyderabad,Andhra Pradesh,504202,13.7150633,77.4960298
Bellampalli R.S. ,Adilabad,Hyderabad,Andhra Pradesh,504251,13.7150633,77.4960298
Bellampalli ,Adilabad,Hyderabad,Andhra Pradesh,504251,19.0715572,79.4911758
